0.2.262.1.10, Telesec
1.2.840.113549.1.9.16.11, capabilities
1.2.840.113549.1.9.16.11.1, preferBinaryInside
1.2.840.113549.1.9.16.2, id-aa
1.2.840.113549.1.9.16.2.1, id-aa-receiptRequest
1.2.840.113549.1.9.16.2.10, contentReference
1.2.840.113549.1.9.16.2.11, encrypKeyPref
1.2.840.113549.1.9.16.2.12, signingCertificate
1.2.840.113549.1.9.16.2.13, smimeEncryptCerts
1.2.840.113549.1.9.16.2.14, timeStampToken
1.2.840.113549.1.9.16.2.15, sigPolicyId
1.2.840.113549.1.9.16.2.16, commitmentType
1.2.840.113549.1.9.16.2.17, signerLocation
1.2.840.113549.1.9.16.2.18, signerAttr
1.2.840.113549.1.9.16.2.19, otherSigCert
1.2.840.113549.1.9.16.2.2, id-aa-securityLabel
1.2.840.113549.1.9.16.2.20, contentTimestamp
1.2.840.113549.1.9.16.2.21, certificateRefs
1.2.840.113549.1.9.16.2.22, revocationRefs
1.2.840.113549.1.9.16.2.23, certValues
1.2.840.113549.1.9.16.2.24, revocationValues
1.2.840.113549.1.9.16.2.25, escTimeStamp
1.2.840.113549.1.9.16.2.26, certCRLTimestamp
1.2.840.113549.1.9.16.2.27, archiveTimeStamp
1.2.840.113549.1.9.16.2.28, signatureType
1.2.840.113549.1.9.16.2.29, dvcs-dvc
1.2.840.113549.1.9.16.2.3, id-aa-mlExpandHistory
1.2.840.113549.1.9.16.2.35, fwPackageID
1.2.840.113549.1.9.16.2.36, fwTargetHardwareIDs
1.2.840.113549.1.9.16.2.37, fwDecryptKeyID
1.2.840.113549.1.9.16.2.38, fwImplCryptAlgs
1.2.840.113549.1.9.16.2.39, fwWrappedFirmwareKey
1.2.840.113549.1.9.16.2.4, id-aa-contentHint
1.2.840.113549.1.9.16.2.40, fwCommunityIdentifiers
1.2.840.113549.1.9.16.2.42, fwPackageInfo
1.2.840.113549.1.9.16.2.43, fwImplCompressAlgs
1.2.840.113549.1.9.16.2.47, signingCertificateV2
1.2.840.113549.1.9.16.2.5, msgSigDigest
1.2.840.113549.1.9.16.2.6, encapContentType
1.2.840.113549.1.9.16.2.7, contentIdentifier
1.2.840.113549.1.9.16.2.8, macValue
1.2.840.113549.1.9.16.2.9, equivalentLabels
1.2.840.113549.1.9.16.3.1, algESDHwith3DES
1.2.840.113549.1.9.16.3.2, algESDHwithRC2
1.2.840.113549.1.9.16.3.3, alg3DESwrap
1.2.840.113549.1.9.16.3.4, algRC2wrap
1.2.840.113549.1.9.16.3.5, esDH
1.2.840.113549.1.9.16.3.6, cms3DESwrap
1.2.840.113549.1.9.16.3.7, cmsRC2wrap
1.2.840.113549.1.9.16.3.8, zlib
1.2.840.113549.1.9.16.3.9, pwri-KEK
1.2.840.113549.1.9.16.4.1, sigPolicyQualifier-spuri x
1.2.840.113549.1.9.16.5.2, sigPolicyQualifier-spUserNotice
1.2.840.113549.1.9.16.6.1, proofOfOrigin
1.2.840.113549.1.9.16.6.2, proofOfReceipt
1.2.840.113549.1.9.16.6.3, proofOfDelivery
1.2.840.113549.1.9.16.6.4, proofOfSender
1.2.840.113549.1.9.16.6.5, proofOfApproval
1.2.840.113549.1.9.16.6.6, proofOfCreation
1.2.840.113549.1.9.16.9, signatureTypeIdentifier
1.2.840.113549.1.9.16.9.1, originatorSig
1.2.840.113549.1.9.16.9.2, domainSig
1.2.840.113549.1.9.16.9.3, additionalAttributesSig
1.2.840.113549.1.9.16.9.4, reviewSig
1.2.840.113549.1.9.2, unstructuredName
1.2.840.113549.1.9.20, friendlyName
1.2.840.113549.1.9.21, localKeyID
1.2.840.113549.1.9.22, certTypes
1.2.840.113549.1.9.22.1, x509Certificate
1.2.840.113549.1.9.22.2, sdsiCertificate
1.2.840.113549.1.9.23, crlTypes
1.2.840.113549.1.9.23.1, x509Crl
1.2.840.113549.1.9.24, pkcs9objectClass
1.2.840.113549.1.9.25, pkcs9attributes
1.2.840.113549.1.9.25.1, pkcs15Token
1.2.840.113549.1.9.25.2, encryptedPrivateKeyInfo
1.2.840.113549.1.9.25.3, randomNonce
1.2.840.113549.1.9.25.4, sequenceNumber
1.2.840.113549.1.9.25.5, pkcs7PDU
1.2.840.113549.1.9.26, pkcs9syntax
1.2.840.113549.1.9.27, pkcs9matchingRules
1.2.840.113549.1.9.3, contentType
1.2.840.113549.1.9.4, messageDigest
1.2.840.113549.1.9.5, signingTime
1.2.840.113549.1.9.6, countersignature
1.2.840.113549.1.9.7, challengePassword
1.2.840.113549.1.9.8, unstructuredAddress
1.2.840.113549.1.9.9, extendedCertificateAttributes
1.2.840.113549.2, digestAlgorithm
1.2.840.113549.2.10, hmacWithSHA384
1.2.840.113549.2.11, hmacWithSHA512
1.2.840.113549.2.2, md2
1.2.840.113549.2.4, md4
1.2.840.113549.2.5, md5
1.2.840.113549.2.7, hmacWithSHA1
1.2.840.113549.2.8, hmacWithSHA224
1.2.840.113549.2.9, hmacWithSHA256
1.2.840.113549.3, encryptionAlgorithm
1.2.840.113549.3.10, desCDMF
1.2.840.113549.3.2, rc2CBC
1.2.840.113549.3.3, rc2ECB
1.2.840.113549.3.4, rc4
1.2.840.113549.3.5, rc4WithMAC
1.2.840.113549.3.6, DESX-CBC
1.2.840.113549.3.7, DES-EDE3-CBC
1.2.840.113549.3.8, RC5CBC
1.2.840.113549.3.9, RC5-CBCPad
1.2.840.113556.1.2.241, deliveryMechanism
1.2.840.113556.1.2.281, ntSecurityDescriptor
1.2.840.113556.1.3.0, site-Addressing
1.2.840.113556.1.3.13, classSchema
1.2.840.113556.1.3.14, attributeSchema
1.2.840.113556.1.3.17, mailbox-Agent
1.2.840.113556.1.3.22, mailbox
1.2.840.113556.1.3.23, container
1.2.840.113556.1.3.46, mailRecipient
1.2.840.113556.1.4.1327, pKIDefaultKeySpec
1.2.840.113556.1.4.1328, pKIKeyUsage
1.2.840.113556.1.4.1329, pKIMaxIssuingDepth
1.2.840.113556.1.4.1330, pKICriticalExtensions
1.2.840.113556.1.4.1331, pKIExpirationPeriod
1.2.840.113556.1.4.1332, pKIOverlapPeriod
1.2.840.113556.1.4.1333, pKIExtendedKeyUsage
1.2.840.113556.1.4.1334, pKIDefaultCSPs
1.2.840.113556.1.4.1335, pKIEnrollmentAccess
1.2.840.113556.1.4.1429, msPKI-RA-Signature
1.2.840.113556.1.4.1430, msPKI-Enrollment-Flag
1.2.840.113556.1.4.1431, msPKI-Private-Key-Flag
1.2.840.113556.1.4.1432, msPKI-Certificate-Name-Flag
1.2.840.113556.1.4.1433, msPKI-Minimal-Key-Size
1.2.840.113556.1.4.1434, msPKI-Template-Schema-Version
1.2.840.113556.1.4.1435, msPKI-Template-Minor-Revision
1.2.840.113556.1.4.1436, msPKI-Cert-Template-OID
1.2.840.113556.1.4.1437, msPKI-Supersede-Templates
1.2.840.113556.1.4.1438, msPKI-RA-Policies
1.2.840.113556.1.4.1439, msPKI-Certificate-Policy
1.2.840.113556.1.4.145, revision
1.2.840.113556.1.4.1674, msPKI-Certificate-Application-Policy
1.2.840.113556.1.4.1675, msPKI-RA-Application-Policies
1.2.840.113556.4.3, microsoftExcel
1.2.840.113556.4.4, titledWithOID
1.2.840.113556.4.5, microsoftPowerPoint
1.2.840.113628.114.1.7, adobePKCS7
1.2.840.114021.1.6.1, Identrus unknown policyIdentifier
1.2.840.114021.4.1, identrusOCSP
1.3.101.1.4, thawte-ce
1.3.101.1.4.1, strongExtranet
1.3.12.2.1011.7.1, decEncryptionAlgorithm
1.3.12.2.1011.7.1.2, decDEA
1.3.12.2.1011.7.2, decHashAlgorithm
1.3.12.2.1011.7.2.1, decMD2
1.3.12.2.1011.7.2.2, decMD4
1.3.12.2.1011.7.3, decSignatureAlgorithm
1.3.12.2.1011.7.3.1, decMD2withRSA
1.3.12.2.1011.7.3.2, decMD4withRSA
1.3.12.2.1011.7.3.3, decDEAMAC
1.3.132.0.1, sect163k1
1.3.132.0.10, secp256k1
1.3.132.0.15, sect163r2
1.3.132.0.16, sect283k1
1.3.132.0.17, sect283r1
1.3.132.0.2, sect163r1
1.3.132.0.22, sect131r1
1.3.132.0.23, sect131r2
1.3.132.0.24, sect193r1
1.3.132.0.25, sect193r2
1.3.132.0.26, sect233k1
1.3.132.0.27, sect233r1
1.3.132.0.28, secp128r1
1.3.132.0.29, secp128r2
1.3.132.0.3, sect239k1
1.3.132.0.30, secp160r2
1.3.132.0.31, secp192k1
1.3.132.0.32, secp224k1
1.3.132.0.33, secp224r1
1.3.132.0.34, secp384r1
1.3.132.0.35, secp521r1
1.3.132.0.36, sect409k1
1.3.132.0.37, sect409r1
1.3.132.0.38, sect571k1
1.3.132.0.39, sect571r1
1.3.132.0.4, sect113r1
1.3.132.0.5, sect113r2
1.3.132.0.6, secp112r1
1.3.132.0.7, secp112r2
1.3.132.0.8, secp160r1
1.3.132.0.9, secp160k1
1.3.133.16.840.9.84, x9-84
1.3.133.16.840.9.84.0, x9-84-Module
1.3.133.16.840.9.84.0.1, x9-84-Biometrics
1.3.133.16.840.9.84.0.2, x9-84-CMS
1.3.133.16.840.9.84.0.3, x9-84-Identifiers
1.3.133.16.840.9.84.1, biometric
1.3.133.16.840.9.84.1.0, id-unknown-Type
1.3.133.16.840.9.84.1.1, id-body-Odor
1.3.133.16.840.9.84.1.10, id-palm
1.3.133.16.840.9.84.1.11, id-retina
1.3.133.16.840.9.84.1.12, id-signature
1.3.133.16.840.9.84.1.13, id-speech-Pattern
1.3.133.16.840.9.84.1.14, id-thermal-Image
1.3.133.16.840.9.84.1.15, id-vein-Pattern
1.3.133.16.840.9.84.1.16, id-thermal-Face-Image
1.3.133.16.840.9.84.1.17, id-thermal-Hand-Image
1.3.133.16.840.9.84.1.18, id-lip-Movement
1.3.133.16.840.9.84.1.19, id-gait
1.3.133.16.840.9.84.1.2, id-dna
1.3.133.16.840.9.84.1.3, id-ear-Shape
1.3.133.16.840.9.84.1.4, id-facial-Features
1.3.133.16.840.9.84.1.5, id-finger-Image
1.3.133.16.840.9.84.1.6, id-finger-Geometry
1.3.133.16.840.9.84.1.7, id-hand-Geometry
1.3.133.16.840.9.84.1.8, id-iris-Features
1.3.133.16.840.9.84.1.9, id-keystroke-Dynamics
1.3.133.16.840.9.84.2, processing-algorithm
1.3.133.16.840.9.84.3, matching-method
1.3.133.16.840.9.84.4, format-Owner
1.3.133.16.840.9.84.4.0, cbeff-Owner
1.3.133.16.840.9.84.4.1, ibia-Owner
1.3.133.16.840.9.84.4.1.1, id-ibia-SAFLINK
1.3.133.16.840.9.84.4.1.10, id-ibia-SecuGen
1.3.133.16.840.9.84.4.1.11, id-ibia-PreciseBiometric
1.3.133.16.840.9.84.4.1.12, id-ibia-Identix
1.3.133.16.840.9.84.4.1.13, id-ibia-DERMALOG
1.3.133.16.840.9.84.4.1.14, id-ibia-LOGICO
1.3.133.16.840.9.84.4.1.15, id-ibia-NIST
1.3.133.16.840.9.84.4.1.16, id-ibia-A3Vision
1.3.133.16.840.9.84.4.1.17, id-ibia-NEC
1.3.133.16.840.9.84.4.1.18, id-ibia-STMicroelectronics
1.3.133.16.840.9.84.4.1.2, id-ibia-Bioscrypt
1.3.133.16.840.9.84.4.1.3, id-ibia-Visionics
1.3.133.16.840.9.84.4.1.4, id-ibia-InfineonTechnologiesAG
1.3.133.16.840.9.84.4.1.5, id-ibia-IridianTechnologies
1.3.133.16.840.9.84.4.1.6, id-ibia-Veridicom
1.3.133.16.840.9.84.4.1.7, id-ibia-CyberSIGN
1.3.133.16.840.9.84.4.1.8, id-ibia-eCryp.
1.3.133.16.840.9.84.4.1.9, id-ibia-FingerprintCardsAB
1.3.133.16.840.9.84.4.2, x9-Owner
1.3.14.2.26.5, sha
1.3.14.3.2.1.1, rsa
1.3.14.3.2.10, desMAC
1.3.14.3.2.11, rsaSignature
1.3.14.3.2.12, dsa
1.3.14.3.2.13, dsaWithSHA
1.3.14.3.2.14, mdc2WithRSASignature
1.3.14.3.2.15, shaWithRSASignature
1.3.14.3.2.16, dhWithCommonModulus
1.3.14.3.2.17, desEDE
1.3.14.3.2.18, sha
1.3.14.3.2.19, mdc-2
1.3.14.3.2.2, md4WitRSA
1.3.14.3.2.2.1, sqmod-N
1.3.14.3.2.20, dsaCommon
1.3.14.3.2.21, dsaCommonWithSHA
1.3.14.3.2.22, rsaKeyTransport
1.3.14.3.2.23, keyed-hash-seal
1.3.14.3.2.24, md2WithRSASignature
1.3.14.3.2.25, md5WithRSASignature
1.3.14.3.2.26, sha1
1.3.14.3.2.27, dsaWithSHA1
1.3.14.3.2.28, dsaWithCommonSHA1
1.3.14.3.2.29, sha-1WithRSAEncryption
1.3.14.3.2.3, md5WithRSA
1.3.14.3.2.3.1, sqmod-NwithRSA
1.3.14.3.2.4, md4WithRSAEncryption
1.3.14.3.2.6, desECB
1.3.14.3.2.7, desCBC
1.3.14.3.2.8, desOFB
1.3.14.3.2.9, desCFB
1.3.14.3.3.1, simple-strong-auth-mechanism
1.3.14.7.2.1.1, ElGamal
1.3.14.7.2.3.1, md2WithRSA
1.3.14.7.2.3.2, md2WithElGamal
1.3.36.1, document
1.3.36.1.1, finalVersion
1.3.36.1.2, draft
1.3.36.2, sio
1.3.36.2.1, sedu
1.3.36.3, algorithm
1.3.36.3.1, encryptionAlgorithm
1.3.36.3.1.1, des
1.3.36.3.1.1.1, desECB_pad
1.3.36.3.1.1.1.1, desECBPad
1.3.36.3.1.1.1.1.1, desECBPadISO
1.3.36.3.1.1.2.1, desCBCPad
1.3.36.3.1.1.2.1.1, desCBCPadISO
1.3.36.3.1.2, idea
1.3.36.3.1.2.1, ideaECB
1.3.36.3.1.2.1.1, ideaECBPad
1.3.36.3.1.2.1.1.1, ideaECBPadISO
1.3.36.3.1.2.2, ideaCBC
1.3.36.3.1.2.2.1, ideaCBCPad
1.3.36.3.1.2.2.1.1, ideaCBCPadISO
1.3.36.3.1.2.3, ideaOFB
1.3.36.3.1.2.4, ideaCFB
1.3.36.3.1.3, des-3
1.3.36.3.1.3.1.1, des-3ECBPad
1.3.36.3.1.3.1.1.1, des-3ECBPadISO
1.3.36.3.1.3.2.1, des-3CBCPad
1.3.36.3.1.3.2.1.1, des-3CBCPadISO
1.3.36.3.1.4, rsaEncryption
1.3.36.3.1.4.512.17, rsaEncryptionWithlmod512expe17
1.3.36.3.1.5, bsi-1
1.3.36.3.1.5.1, bsi_1ECB_pad
1.3.36.3.1.5.2, bsi_1CBC_pad
1.3.36.3.1.5.2.1, bsi_1CBC_PEMpad
1.3.36.3.2, hashAlgorithm
1.3.36.3.2.1, ripemd160
1.3.36.3.2.2, ripemd128
1.3.36.3.2.3, ripemd256
1.3.36.3.2.4, mdc2singleLength
1.3.36.3.2.5, mdc2doubleLength
1.3.36.3.3, signatureAlgorithm
1.3.36.3.3.1, rsa
1.3.36.3.3.1.1, rsaMitSHA-1
1.3.36.3.3.1.1.1024.11, rsaSignatureWithsha1_l1024_l11
1.3.36.3.3.1.1.1024.2, rsaSignatureWithsha1_l1024_l2
1.3.36.3.3.1.1.1024.3, rsaSignatureWithsha1_l1024_l3
1.3.36.3.3.1.1.1024.5, rsaSignatureWithsha1_l1024_l5
1.3.36.3.3.1.1.1024.9, rsaSignatureWithsha1_l1024_l9
1.3.36.3.3.1.1.512.11, rsaSignatureWithsha1_l512_l11
1.3.36.3.3.1.1.512.2, rsaSignatureWithsha1_l512_l2
1.3.36.3.3.1.1.512.3, rsaSignatureWithsha1_l512_l3
1.3.36.3.3.1.1.512.5, rsaSignatureWithsha1_l512_l5
1.3.36.3.3.1.1.512.9, rsaSignatureWithsha1_l512_l9
1.3.36.3.3.1.1.640.11, rsaSignatureWithsha1_l640_l11
1.3.36.3.3.1.1.640.2, rsaSignatureWithsha1_l640_l2
1.3.36.3.3.1.1.640.3, rsaSignatureWithsha1_l640_l3
1.3.36.3.3.1.1.640.5, rsaSignatureWithsha1_l640_l5
1.3.36.3.3.1.1.640.9, rsaSignatureWithsha1_l640_l9
1.3.36.3.3.1.1.768.11, rsaSignatureWithsha1_l768_l11
1.3.36.3.3.1.1.768.2, rsaSignatureWithsha1_l768_l2
1.3.36.3.3.1.1.768.3, rsaSignatureWithsha1_l768_l3
1.3.36.3.3.1.1.768.5, rsaSignatureWithsha1_l768_l5
1.3.36.3.3.1.1.768.9, rsaSignatureWithsha1_l768_l9
1.3.36.3.3.1.1.896.11, rsaSignatureWithsha1_l896_l11
1.3.36.3.3.1.1.896.2, rsaSignatureWithsha1_l896_l2
1.3.36.3.3.1.1.896.3, rsaSignatureWithsha1_l896_l3
1.3.36.3.3.1.1.896.5, rsaSignatureWithsha1_l896_l5
1.3.36.3.3.1.1.896.9, rsaSignatureWithsha1_l896_l9
1.3.36.3.3.1.2, rsaMitRIPEMD160
1.3.36.3.3.1.2.1024.11, rsaSignatureWithripemd160_l1024_l11
1.3.36.3.3.1.2.1024.2, rsaSignatureWithripemd160_l1024_l2
1.3.36.3.3.1.2.1024.3, rsaSignatureWithripemd160_l1024_l3
1.3.36.3.3.1.2.1024.5, rsaSignatureWithripemd160_l1024_l5
1.3.36.3.3.1.2.1024.9, rsaSignatureWithripemd160_l1024_l9
1.3.36.3.3.1.2.512.11, rsaSignatureWithripemd160_l512_l11
1.3.36.3.3.1.2.512.2, rsaSignatureWithripemd160_l512_l2
1.3.36.3.3.1.2.512.3, rsaSignatureWithripemd160_l512_l3
1.3.36.3.3.1.2.512.5, rsaSignatureWithripemd160_l512_l5
1.3.36.3.3.1.2.512.9, rsaSignatureWithripemd160_l512_l9
1.3.36.3.3.1.2.640.11, rsaSignatureWithripemd160_l640_l11
1.3.36.3.3.1.2.640.2, rsaSignatureWithripemd160_l640_l2
1.3.36.3.3.1.2.640.3, rsaSignatureWithripemd160_l640_l3
1.3.36.3.3.1.2.640.5, rsaSignatureWithripemd160_l640_l5
1.3.36.3.3.1.2.640.9, rsaSignatureWithripemd160_l640_l9
1.3.36.3.3.1.2.768.11, rsaSignatureWithripemd160_l768_l11
1.3.36.3.3.1.2.768.2, rsaSignatureWithripemd160_l768_l2
1.3.36.3.3.1.2.768.3, rsaSignatureWithripemd160_l768_l3
1.3.36.3.3.1.2.768.5, rsaSignatureWithripemd160_l768_l5
1.3.36.3.3.1.2.768.9, rsaSignatureWithripemd160_l768_l9
1.3.36.3.3.1.2.896.11, rsaSignatureWithripemd160_l896_l11
1.3.36.3.3.1.2.896.2, rsaSignatureWithripemd160_l896_l2
1.3.36.3.3.1.2.896.3, rsaSignatureWithripemd160_l896_l3
1.3.36.3.3.1.2.896.5, rsaSignatureWithripemd160_l896_l5
1.3.36.3.3.1.2.896.9, rsaSignatureWithripemd160_l896_l9
1.3.36.3.3.1.3, rsaSignatureWithrimpemd128
1.3.36.3.3.1.4, rsaSignatureWithrimpemd256
1.3.36.3.3.2, ellipticCurve
1.3.36.3.3.2.1, ecsieSignWithsha1
1.3.36.3.3.2.2, ecsieSignWithripemd160
1.3.36.3.3.2.3, ecsieSignWithmd2
1.3.36.3.3.2.4, ecsieSignWithmd5
1.3.36.3.3.2.8, ecStdCurvesAndGeneration
1.3.36.3.3.2.8.1, ellipticCurve
1.3.36.3.3.2.8.1.1, versionOne
1.3.36.3.3.2.8.1.1.1, brainpoolP160r1
1.3.36.3.3.2.8.1.1.10, brainpoolP320t1
1.3.36.3.3.2.8.1.1.11, brainpoolP384r1
1.3.36.3.3.2.8.1.1.12, brainpoolP384t1
1.3.36.3.3.2.8.1.1.13, brainpoolP512r1
1.3.36.3.3.2.8.1.1.14, brainpoolP512t1
1.3.36.3.3.2.8.1.1.2, brainpoolP160t1
1.3.36.3.3.2.8.1.1.3, brainpoolP192r1
1.3.36.3.3.2.8.1.1.4, brainpoolP192t1
1.3.36.3.3.2.8.1.1.5, brainpoolP224r1
1.3.36.3.3.2.8.1.1.6, brainpoolP224t1
1.3.36.3.3.2.8.1.1.7, brainpoolP256r1
1.3.36.3.3.2.8.1.1.8, brainpoolP256t1
1.3.36.3.3.2.8.1.1.9, brainpoolP320r1
1.3.36.3.4, signatureScheme
1.3.36.3.4.1, iso9796-1
1.3.36.3.4.2, sigS_ISO9796-2
1.3.36.3.4.2.1, iso9796-2
1.3.36.3.4.2.2, iso9796-2rsa
1.3.36.3.4.2.3, sigS_ISO9796-2Withrnd
1.3.36.4, attribute
1.3.36.5, policy
1.3.36.6, api
1.3.36.6.1, manufacturerSpecific
1.3.36.6.1.1, utimaco-api
1.3.36.6.2, functionalitySpecific
1.3.36.7, api
1.3.36.7.1, keyAgreement
1.3.36.7.1.1, bsiPKE
1.3.36.7.2, keyTransport
1.3.36.7.2.1, encISO9796-2Withrsa
1.3.36.8.1.1, Teletrust SigGConform policyIdentifier
1.3.36.8.2.1, directoryService
1.3.36.8.3.1, dateOfCertGen
1.3.36.8.3.10, requestedCertificate
1.3.36.8.3.11, namingAuthorities
1.3.36.8.3.11.1, rechtWirtschaftSteuern
1.3.36.8.3.11.1.1, rechtsanwaeltin
1.3.36.8.3.11.1.10, notarVertreterin
1.3.36.8.3.11.1.11, notarVertreter
1.3.36.8.3.11.1.12, notariatsVerwalterin
1.3.36.8.3.11.1.13, notariatsVerwalter
1.3.36.8.3.11.1.14, wirtschaftsPrueferin
1.3.36.8.3.11.1.15, wirtschaftsPruefer
1.3.36.8.3.11.1.16, vereidigteBuchprueferin
1.3.36.8.3.11.1.17, vereidigterBuchpruefer
1.3.36.8.3.11.1.18, patentAnwaeltin
1.3.36.8.3.11.1.19, patentAnwalt
1.3.36.8.3.11.1.2, rechtsanwalt
1.3.36.8.3.11.1.3, rechtsBeistand
1.3.36.8.3.11.1.4, steuerBeraterin
1.3.36.8.3.11.1.5, steuerBerater
1.3.36.8.3.11.1.6, steuerBevollmaechtigte
1.3.36.8.3.11.1.7, steuerBevollmaechtigter
1.3.36.8.3.11.1.8, notarin
1.3.36.8.3.11.1.9, notar
1.3.36.8.3.12, certInDirSince
1.3.36.8.3.13, certHash
1.3.36.8.3.14, nameAtBirth
1.3.36.8.3.15, additionalInformation
1.3.36.8.3.2, procuration
1.3.36.8.3.3, admission
1.3.36.8.3.4, monetaryLimit
1.3.36.8.3.5, declarationOfMajority
1.3.36.8.3.6, integratedCircuitCardSerialNumber
1.3.36.8.3.7, pKReference
1.3.36.8.3.8, restriction
1.3.36.8.3.9, retrieveIfAllowed
1.3.36.8.4.1, personalData
1.3.36.8.4.8, restriction
1.3.36.8.5.1.1.1, rsaIndicateSHA1
1.3.36.8.5.1.1.2, rsaIndicateRIPEMD160
1.3.36.8.5.1.1.3, rsaWithSHA1
1.3.36.8.5.1.1.4, rsaWithRIPEMD160
1.3.36.8.5.1.2.1, dsaExtended
1.3.36.8.5.1.2.2, dsaWithRIPEMD160
1.3.36.8.6.1, cert
1.3.36.8.6.10, autoGen
1.3.36.8.6.2, certRef
1.3.36.8.6.3, attrCert
1.3.36.8.6.4, attrRef
1.3.36.8.6.5, fileName
1.3.36.8.6.6, storageTime
1.3.36.8.6.7, fileSize
1.3.36.8.6.8, location
1.3.36.8.6.9, sigNumber
1.3.36.8.7.1.1, ptAdobeILL
1.3.36.8.7.1.10, ptCorelPHT
1.3.36.8.7.1.11, ptDraw
1.3.36.8.7.1.12, ptDVI
1.3.36.8.7.1.13, ptEPS
1.3.36.8.7.1.14, ptExcel
1.3.36.8.7.1.15, ptGEM
1.3.36.8.7.1.16, ptGIF
1.3.36.8.7.1.17, ptHPGL
1.3.36.8.7.1.18, ptJPEG
1.3.36.8.7.1.19, ptKodak
1.3.36.8.7.1.2, ptAmiPro
1.3.36.8.7.1.20, ptLaTeX
1.3.36.8.7.1.21, ptLotus
1.3.36.8.7.1.22, ptLotusPIC
1.3.36.8.7.1.23, ptMacPICT
1.3.36.8.7.1.24, ptMacWord
1.3.36.8.7.1.25, ptMSWfD
1.3.36.8.7.1.26, ptMSWord
1.3.36.8.7.1.27, ptMSWord2
1.3.36.8.7.1.28, ptMSWord6
1.3.36.8.7.1.29, ptMSWord8
1.3.36.8.7.1.3, ptAutoCAD
1.3.36.8.7.1.30, ptPDF
1.3.36.8.7.1.31, ptPIF
1.3.36.8.7.1.32, ptPostscript
1.3.36.8.7.1.33, ptRTF
1.3.36.8.7.1.34, ptSCITEX
1.3.36.8.7.1.35, ptTAR
1.3.36.8.7.1.36, ptTarga
1.3.36.8.7.1.37, ptTeX
1.3.36.8.7.1.38, ptText
1.3.36.8.7.1.39, ptTIFF
1.3.36.8.7.1.4, ptBinary
1.3.36.8.7.1.40, ptTIFF-FC
1.3.36.8.7.1.41, ptUID
1.3.36.8.7.1.42, ptUUEncode
1.3.36.8.7.1.43, ptWordPerfect x
1.3.36.8.7.1.45, ptWPGrph
1.3.36.8.7.1.5, ptBMP
1.3.36.8.7.1.6, ptCGM
1.3.36.8.7.1.7, ptCorelCRT
1.3.36.8.7.1.8, ptCorelDRW
1.3.36.8.7.1.9, ptCorelEXC
1.3.6.1.4.1.11591, gnu
1.3.6.1.4.1.11591.1, gnuRadius
1.3.6.1.4.1.11591.12, gnuDigestAlgorithm
1.3.6.1.4.1.11591.12.2, tiger
1.3.6.1.4.1.11591.13, gnuEncryptionAlgorithm
1.3.6.1.4.1.11591.13.2, serpent
1.3.6.1.4.1.11591.13.2.1, serpent128_ECB
1.3.6.1.4.1.11591.13.2.2, serpent128_CBC
1.3.6.1.4.1.11591.13.2.21, serpent192_ECB
1.3.6.1.4.1.11591.13.2.22, serpent192_CBC
1.3.6.1.4.1.11591.13.2.23, serpent192_OFB
1.3.6.1.4.1.11591.13.2.24, serpent192_CFB
1.3.6.1.4.1.11591.13.2.3, serpent128_OFB
1.3.6.1.4.1.11591.13.2.4, serpent128_CFB
1.3.6.1.4.1.11591.13.2.41, serpent256_ECB
1.3.6.1.4.1.11591.13.2.42, serpent256_CBC
1.3.6.1.4.1.11591.13.2.43, serpent256_OFB
1.3.6.1.4.1.11591.13.2.44, serpent256_CFB
1.3.6.1.4.1.11591.3, gnuRadar
1.3.6.1.4.1.16334.509.1.1, Northrop Grumman extKeyUsage?
1.3.6.1.4.1.16334.509.2.1, ngcClass1
1.3.6.1.4.1.16334.509.2.2, ngcClass2
1.3.6.1.4.1.16334.509.2.3, ngcClass3
1.3.6.1.4.1.188.7.1.1, ascom
1.3.6.1.4.1.188.7.1.1.1, ideaECB
1.3.6.1.4.1.188.7.1.1.2, ideaCBC
1.3.6.1.4.1.188.7.1.1.3, ideaCFB
1.3.6.1.4.1.188.7.1.1.4, ideaOFB
1.3.6.1.4.1.2428.10.1.1, UNINETT policyIdentifier
1.3.6.1.4.1.2712.10, ICE-TEL policyIdentifier
1.3.6.1.4.1.2786.1.1.1, ICE-TEL Italian policyIdentifier
1.3.6.1.4.1.3029.1.1.1, blowfishECB
1.3.6.1.4.1.3029.1.1.2, blowfishCBC
1.3.6.1.4.1.3029.1.1.3, blowfishCFB
1.3.6.1.4.1.3029.1.1.4, blowfishOFB
1.3.6.1.4.1.3029.1.2.1, elgamal
1.3.6.1.4.1.3029.1.2.1.1, elgamalWithSHA-1
1.3.6.1.4.1.3029.1.2.1.2, elgamalWithRIPEMD-160
1.3.6.1.4.1.3029.3.1.1, cryptlibPresenceCheck
1.3.6.1.4.1.3029.3.1.2, pkiBoot
1.3.6.1.4.1.3029.3.1.4, crlExtReason
1.3.6.1.4.1.3029.3.1.5, keyFeatures
1.3.6.1.4.1.3029.32.1, cryptlibEnvelope
1.3.6.1.4.1.3029.32.2, cryptlibPrivateKey
1.3.6.1.4.1.3029.4.1, cryptlibContent
1.3.6.1.4.1.3029.4.1.1, cryptlibConfigData
1.3.6.1.4.1.3029.4.1.2, cryptlibUserIndex
1.3.6.1.4.1.3029.4.1.3, cryptlibUserInfo
1.3.6.1.4.1.3029.4.1.4, rtcsRequest
